id,title,release_year,rating,genre
500,Hong Kong,2012,8.08,CRIME
501,Mumbai,2020,5.06,DRAMA
502,Changchun,2020,10.46,CRIME
503,Perm,2018,6.3,CRIME
504,Leipzig,2017,2.8,DRAMA
505,Okinawa,2013,10.68,ACTION
506,San Diego,2017,5.01,CRIME
507,Virginia Beach,2022,6.4,ACTION
508,Labasa,2020,10.12,CRIME
509,Pekanbaru,2017,10.47,WESTERN
510,Lanzhou,2021,8.58,CRIME
511,Denver,2012,5.86,ACTION
512,Berlin,2013,5.09,CRIME
513,Port Elizabeth,2012,4.64,WESTERN
514,Omsk,2015,9.57,WESTERN
515,Marrakech,2018,3.69,ACTION
516,Suva,2020,10.9,CRIME
517,Calgary,2019,8.14,WESTERN
518,Belgrade,2019,4.32,CRIME
519,Port of Spain,2014,8.5,DRAMA
520,Vienna,2020,3.52,DRAMA
521,Shillong,2017,1.34,CRIME
522,Bujumbura,2017,2.13,CRIME
523,Hat Yai,2020,9.71,ACTION
524,Tiraspol,2021,3.22,WESTERN
525,Labasa,2017,9.74,DRAMA
526,Townsville,2013,5,CRIME
527,Rotterdam,2017,6.45,ACTION
528,Yellowknife,2015,1.29,DRAMA
529,Phuket (city),2019,4.92,ACTION
530,Murmansk,2022,1.04,DRAMA
531,Düsseldorf,2019,2.64,CRIME
532,Nicosia,2013,8.64,ACTION
533,Malabo,2015,4.29,CRIME
534,Malang,2018,7.21,WESTERN
535,Virginia Beach,2018,1.71,WESTERN
536,Dallas,2012,4.65,ACTION
537,Surat,2013,4.63,CRIME
538,Mata-Utu,2015,4.09,DRAMA
539,Leeds,2021,5.23,CRIME
540,Koulikoro,2012,2.84,CRIME
541,Leeds,2016,5.28,WESTERN
542,Luxembourg (city),2013,8.13,CRIME
543,Port-au-Prince,2021,10.58,ACTION
544,Bratislava,2014,3.48,CRIME
545,Prague,2020,7.61,ACTION
546,Montreal,2018,5.7,WESTERN
547,Medina,2013,8.8,ACTION
548,Tegucigalpa,2015,4.37,CRIME
549,Arequipa,2020,9.61,DRAMA
550,Beirut,2021,6.45,WESTERN
551,Brussels,2013,7.69,ACTION
552,Mérida,2015,4.09,DRAMA
553,Calgary,2019,8.4,ACTION
554,Srinagar,2017,9.18,CRIME
555,Surat Thani,2022,9.15,DRAMA
556,Fukuoka,2020,4.87,ACTION
557,Edinburgh,2014,7.56,WESTERN
558,Ibadan,2015,5.78,WESTERN
559,Newcastle,2013,6.63,CRIME
560,Campinas,2015,4.95,WESTERN
561,Hanga Roa,2017,10.59,ACTION
562,Brisbane,2014,3.44,CRIME
563,Bogotá,2020,2.88,ACTION
564,Vientiane,2016,9.34,ACTION
565,Amritsar,2017,6.31,ACTION
566,Anchorage,2018,8.17,DRAMA
567,Stanley,2021,1.3,CRIME
568,Magadan,2018,3.61,CRIME
569,Porto Alegre,2021,6.26,DRAMA
570,Puerto Williams,2021,7.72,ACTION
571,St. George's,2017,8.07,WESTERN
572,Hargeisa,2016,5.97,DRAMA
573,Brussels,2018,8.55,DRAMA
574,Concepción,2012,3.67,WESTERN
575,Colombo,2018,3.22,DRAMA
576,Honiara,2021,7.77,WESTERN
577,Nukus,2013,2.51,CRIME
578,Makati City,2017,3.16,CRIME
579,Montreal,2016,9.22,WESTERN
580,Dededo,2021,1.13,CRIME
581,Rio Branco,2017,10.54,ACTION
582,Maracaibo,2014,3.98,DRAMA
583,Strasbourg,2015,8.16,CRIME
584,Dhaka,2015,5.52,WESTERN
585,Kyoto,2019,5.78,CRIME
586,Shanghai,2019,7.34,CRIME
587,Cotonou,2016,3.88,CRIME
588,Khartoum,2022,9.95,ACTION
589,Tehran,2015,1.09,WESTERN
590,Johannesburg,2012,10.59,WESTERN
591,Cairo,2022,7.05,WESTERN
592,Campinas,2021,5.37,WESTERN
593,Maseru,2019,8.29,DRAMA
594,Berlin,2020,2.29,ACTION
595,Lhasa,2012,7.3,ACTION
596,Tagbilaran,2014,6.82,WESTERN
597,Shigatse,2018,1.73,CRIME
598,Kingston,2018,7.35,CRIME
599,Addis Ababa,2019,4.07,DRAMA
600,Chennai,2020,7.49,CRIME
601,Mumbai,2018,8.62,CRIME
602,Townsville,2018,5.68,DRAMA
603,St. Louis,2013,4.43,WESTERN
604,Porto,2014,5.22,ACTION
605,Naypyidaw,2019,7.69,ACTION
606,Tartu,2021,6.52,DRAMA
607,Hangzhou,2018,1.65,WESTERN
608,Tijuana,2012,9.71,DRAMA
609,Bogor,2016,7.84,CRIME
610,Bogotá,2020,9.2,CRIME
611,Nouméa,2018,8.95,CRIME
612,Istanbul,2013,9.44,ACTION
613,Helsinki,2021,8.54,DRAMA
614,Handan,2015,4.48,CRIME
615,Saint-Pierre,2022,5.27,CRIME
616,Mérida,2021,9.55,CRIME
617,Strasbourg,2014,2.5,WESTERN
618,La Paz,2022,2.4,ACTION
619,Vitória,2015,6.92,CRIME
620,Doha,2016,9.44,WESTERN
621,Amritsar,2022,4.3,WESTERN
622,Hong Kong,2014,5.83,CRIME
623,Havana,2014,10.61,DRAMA
624,Dakar,2012,3.4,DRAMA
625,Zamboanga City,2018,9.83,ACTION
626,Arbil,2012,1.45,DRAMA
627,Palikir,2018,8.44,CRIME
628,Port Hedland,2017,5.42,WESTERN
629,London,2012,3.12,DRAMA
630,Vitória,2019,10.79,CRIME
631,Yakutsk,2021,4.48,ACTION
632,Porto,2022,9.48,DRAMA
633,Jerusalem,2014,1.92,WESTERN
634,Chengdu,2016,4.05,CRIME
635,Copenhagen,2021,10.52,DRAMA
636,São Tomé,2018,1.28,WESTERN
637,Yerevan,2014,10.19,ACTION
638,Koulikoro,2018,5.66,DRAMA
639,Lomé,2014,4.44,DRAMA
640,Chuí,2018,7.41,CRIME
641,Tripoli,2021,7.68,DRAMA
642,Kuwait City,2014,6.16,ACTION
643,Dhaka,2016,6.28,DRAMA
644,Nizhny Novgorod,2020,10.6,DRAMA
645,Novosibirsk,2018,1.8,ACTION
646,Cork (city),2022,10.2,ACTION
647,Mandurah,2019,7.57,WESTERN
648,Liverpool,2021,6.09,DRAMA
649,Omdurman,2013,2.18,DRAMA
650,Muscat,2022,10.67,DRAMA
651,Alexandria,2016,5.64,DRAMA
652,Bissau,2019,6.09,WESTERN
653,Omdurman,2020,6.58,CRIME
654,St. John's,2015,3.11,CRIME
655,Amman,2015,6.71,ACTION
656,Munich,2020,3.2,ACTION
657,Cebu City,2013,8.01,CRIME
658,Hanga Roa,2012,6.24,CRIME
659,Longyearbyen,2020,2.99,DRAMA
660,Bogotá,2019,4.88,WESTERN
661,Milan,2022,10.05,WESTERN
662,Shijiazhuang,2012,6.72,WESTERN
663,Baku,2016,3.87,ACTION
664,Gdańsk,2020,2.87,WESTERN
665,Hangzhou,2014,1.13,CRIME
666,Port-au-Prince,2012,6.48,ACTION
667,Hagåtña,2016,9.14,WESTERN
668,Bulawayo,2012,7.55,WESTERN
669,Makassar,2020,1.4,CRIME
670,Avarua,2019,9.19,ACTION
671,Aarhus,2022,2.96,CRIME
672,İzmir,2017,4.13,WESTERN
673,Kathmandu,2017,2.84,DRAMA
674,Tampere,2013,9.55,WESTERN
675,Philadelphia,2022,2.85,WESTERN
676,Liverpool,2019,8.97,DRAMA
677,Philadelphia,2017,9.71,CRIME
678,Baku,2013,10.51,ACTION
679,Iqaluit,2021,9.22,CRIME
680,Portland,2015,4.25,DRAMA
681,Stockholm,2017,8.16,ACTION
682,Murmansk,2012,5.41,DRAMA
683,Monaco,2018,10.57,WESTERN
684,Dibrugarh,2016,9.09,WESTERN
685,Bangalore,2020,2.72,WESTERN
686,Charlottetown,2012,5.16,CRIME
687,Adamstown,2015,2.81,ACTION
688,Accra,2020,9.7,WESTERN
689,Timbuktu,2017,5.96,CRIME
690,Alor Star,2020,9.93,WESTERN
691,Wollongong,2017,4.48,CRIME
692,Medan,2019,2.4,ACTION
693,Malmö,2018,9.08,WESTERN
694,Honolulu,2013,2.59,ACTION
695,Changchun,2020,3.15,CRIME
696,Calgary,2014,3.41,DRAMA
697,Birmingham,2018,5.89,WESTERN
698,Murmansk,2020,8.09,DRAMA
699,Chuí,2021,10.58,WESTERN
700,Tripoli,2016,3.69,DRAMA
701,Denver,2017,8.17,WESTERN
702,Barcelona,2016,7.88,CRIME
703,Mexico City,2021,1.99,DRAMA
704,Cork (city),2020,10.56,ACTION
705,Adelaide,2015,7.79,DRAMA
706,Fairbanks,2016,2.95,DRAMA
707,Praia,2016,10.11,DRAMA
708,Karachi,2014,8.56,WESTERN
709,Phuket (city),2022,8.93,WESTERN
710,Peshawar,2021,3.77,ACTION
711,Abuja,2020,3.19,WESTERN
712,Sana'a,2018,1.43,WESTERN
713,Greenwich,2018,9.39,CRIME
714,Washington,2017,2.53,DRAMA
715,Brikama,2015,3.45,ACTION
716,Kanpur,2020,2.01,WESTERN
717,Jacksonville,2018,9.23,ACTION
718,Belize City,2019,3.91,CRIME
719,Mogadishu,2020,4.97,DRAMA
720,Basra,2014,3.91,WESTERN
721,Medellín,2019,5.39,ACTION
722,Monrovia,2018,10.97,WESTERN
723,Gangtok,2016,6.07,WESTERN
724,Lagos,2014,1.04,DRAMA
725,Murmansk,2020,6.13,DRAMA
726,Tampere,2019,4.72,CRIME
727,Samara,2022,9.89,ACTION
728,Chişinău,2019,8.83,CRIME
729,Accra,2020,6.03,DRAMA
730,Bern,2013,7.87,ACTION
731,Semarang,2019,10.82,WESTERN
732,Bamako,2022,1.1,ACTION
733,Bogotá,2020,5,DRAMA
734,Yaren District,2012,7.57,CRIME
735,Panama City,2022,8.53,CRIME
736,Dibrugarh,2017,7.42,DRAMA
737,Brazzaville,2018,9.88,CRIME
738,Cardiff,2015,7.71,WESTERN
739,Glasgow,2021,8.93,DRAMA
740,Lima,2012,9.15,WESTERN
741,N'Djamena,2014,7.98,WESTERN
742,Shijiazhuang,2016,2.98,ACTION
743,Bergen,2015,5.09,ACTION
744,Wellington,2022,2.25,DRAMA
745,Gdańsk,2014,5.43,DRAMA
746,Tegucigalpa,2015,6.75,ACTION
747,Caracas,2022,1.51,ACTION
748,Bratislava,2020,6.28,DRAMA
749,Rabi Island,2020,4.17,ACTION
750,Sapporo,2021,9.26,CRIME
751,Surat Thani,2017,7.84,WESTERN
752,Makassar,2017,7.51,CRIME
753,Semarang,2018,7.56,CRIME
754,Kuala Lumpur,2012,1.91,WESTERN
755,Seattle,2017,2.36,DRAMA
756,Riverside,2018,1.2,DRAMA
757,Budapest,2013,7.74,WESTERN
758,Split (city),2021,8.7,WESTERN
759,Fairbanks,2015,3.64,CRIME
760,St. Louis,2019,9.38,CRIME
761,Guwahati,2018,2.54,WESTERN
762,Memphis,2015,7.08,DRAMA
763,Yogyakarta (city),2017,5.77,DRAMA
764,Brazzaville,2016,9.52,CRIME
765,Faisalabad,2013,7.88,ACTION
766,Cayenne,2016,5.79,CRIME
767,Yangon,2017,9.23,DRAMA
768,Porto-Novo,2018,6.14,WESTERN
769,Port Said,2020,10.18,ACTION
770,Astana,2015,1.54,ACTION
771,Cebu City,2018,7.65,WESTERN
772,Havana,2022,9.34,DRAMA
773,Dakar,2015,8.38,WESTERN
774,Beijing,2020,10.14,CRIME
775,Leeds,2021,1.51,WESTERN
776,Pattaya,2019,4.3,ACTION
777,Riga,2020,6.5,WESTERN
778,Blantyre,2021,8.16,DRAMA
779,Port Moresby,2022,6.76,WESTERN
780,Nagpur,2018,4.84,WESTERN
781,Kota Bharu,2016,3.6,DRAMA
782,Athens,2020,5.65,CRIME
783,Tokyo,2020,10.74,WESTERN
784,Cayenne,2018,5.76,WESTERN
785,Santa Cruz de Tenerife,2018,5.32,CRIME
786,Geelong,2012,10.11,CRIME
787,Rome,2019,10.25,CRIME
788,Koulikoro,2021,2.6,CRIME
789,San Juan,2017,2.97,ACTION
790,Stepanakert,2018,4.54,CRIME
791,Cairo,2015,3.29,WESTERN
792,Kandahar,2021,3.12,WESTERN
793,Vladivostok,2019,1.75,WESTERN
794,Vancouver,2018,9.04,DRAMA
795,Maceió,2016,4.49,CRIME
796,Columbus,2012,4.61,CRIME
797,Luanda,2020,2.37,CRIME
798,Casablanca,2018,9.93,ACTION
799,Pyongyang,2018,5.91,DRAMA
800,Cannes,2015,8.94,CRIME
801,Guwahati,2013,10.17,ACTION
802,Saint Petersburg,2015,10.41,WESTERN
803,Norilsk,2014,2.33,CRIME
804,Denpasar,2017,7.65,CRIME
805,Mata-Utu,2012,7.73,DRAMA
806,Albuquerque,2012,1.96,WESTERN
807,Cuiabá,2016,3.06,WESTERN
808,Anadyr (town),2013,7.26,WESTERN
809,St. Louis,2021,3.08,WESTERN
810,Tampa,2016,4.43,ACTION
811,Istanbul,2016,10.45,ACTION
812,Ouagadougou,2021,6.88,DRAMA
813,Geelong,2018,7.58,WESTERN
814,Saint John,2017,6.2,ACTION
815,Helsinki,2015,3.35,CRIME
816,Funafuti,2012,2.97,ACTION
817,Buffalo,2012,5.18,CRIME
818,Libreville,2020,10.84,CRIME
819,Namangan,2020,3.04,WESTERN
820,Islamabad,2021,3.71,ACTION
821,San Juan,2022,8.16,WESTERN
822,Kingston,2015,4.2,DRAMA
823,Ljubljana,2015,1.07,ACTION
824,Medan,2022,1.22,ACTION
825,Handan,2018,4.83,ACTION
826,San José,2021,2.77,DRAMA
827,Jersey City,2016,4.65,ACTION
828,Konya,2012,1.84,CRIME
829,Nouméa,2016,7.86,WESTERN
830,Durban,2013,2.7,DRAMA
831,Hyderabad,2012,5.46,WESTERN
832,Jerusalem,2012,4.12,ACTION
833,Fairbanks,2014,6.27,WESTERN
834,Chuí,2020,4.25,CRIME
835,Adelaide,2015,6.8,WESTERN
836,Espoo,2012,10.98,WESTERN
837,Jerusalem,2018,7.38,CRIME
838,Zagreb,2012,9.32,ACTION
839,Skopje,2017,3.06,DRAMA
840,Jinan,2013,8.43,CRIME
841,Dodoma,2012,3.97,CRIME
842,Port-au-Prince,2019,8.43,WESTERN
843,Lilongwe,2021,3.43,ACTION
844,Porto,2019,3.06,DRAMA
845,Pristina,2022,7.86,WESTERN
846,Cologne,2012,8.59,CRIME
847,Nouméa,2017,5.13,CRIME
848,Semarang,2014,6.86,DRAMA
849,Geneva,2013,7.31,CRIME
850,Johannesburg,2019,6.27,DRAMA
851,Sucre,2014,5.44,CRIME
852,Budapest,2015,10.38,ACTION
853,Caracas,2019,7.33,ACTION
854,Mamoudzou,2014,8.27,DRAMA
855,Pittsburgh,2021,3.43,ACTION
856,Padang,2012,7.05,WESTERN
857,Mogadishu,2015,6.69,ACTION
858,Melbourne,2012,1.59,CRIME
859,Lagos,2014,7.42,ACTION
860,Tabriz,2018,8.26,WESTERN
861,Adelaide,2022,5.91,ACTION
862,Milwaukee,2022,3.1,CRIME
863,Tijuana,2013,5.32,WESTERN
864,Konya,2017,10.65,CRIME
865,Mwanza,2021,1.93,DRAMA
866,Vilnius,2014,8.44,DRAMA
867,Málaga,2014,7.57,CRIME
868,Yekaterinburg,2021,1.5,ACTION
869,Sana'a,2021,6.08,ACTION
870,Lilongwe,2017,5.57,ACTION
871,Moscow,2014,3.54,CRIME
872,Nanjing,2020,10.43,DRAMA
873,Padang,2020,7.43,DRAMA
874,St. George's,2020,3.34,CRIME
875,Fairbanks,2021,9.29,ACTION
876,Bangkok,2017,10.2,DRAMA
877,Belgrade,2013,8.63,CRIME
878,Seattle,2017,5.19,WESTERN
879,Huế,2015,1.61,DRAMA
880,Brussels,2013,8.42,ACTION
881,Magadan,2013,2.64,CRIME
882,San Carlos de Bariloche,2019,4.01,ACTION
883,Paramaribo,2019,9.29,DRAMA
884,Tel Aviv,2017,8.67,ACTION
885,Wichita,2015,1.32,ACTION
886,Makati City,2021,3.61,CRIME
887,Sacramento,2014,7.77,CRIME
888,Jeddah,2013,6.92,ACTION
889,Kraków,2012,2.96,CRIME
890,Tashkent,2012,9.74,CRIME
891,Abuja,2018,10.15,CRIME
892,Moroni,2021,6.1,WESTERN
893,Cartagena,2013,4.24,CRIME
894,City of San Marino,2013,10.15,CRIME
895,Dresden,2018,2.1,WESTERN
896,Bloemfontein,2014,9.83,CRIME
897,Helsinki,2019,10.92,ACTION
898,San Francisco,2018,6.2,CRIME
899,Dresden,2016,3.27,WESTERN
900,Padang,2018,7.8,ACTION
901,Nuuk,2013,9.03,WESTERN
902,Saint-Denis,2017,10.02,DRAMA
903,Kuching,2021,2.44,ACTION
904,Nagoya,2015,10.44,ACTION
905,Chuí,2018,5.44,CRIME
906,Algiers,2020,6.54,ACTION
907,Majuro,2015,1.11,CRIME
908,Tokyo,2021,9.83,WESTERN
909,Paramaribo,2016,5.81,DRAMA
910,Shigatse,2013,2.02,DRAMA
911,Berlin,2018,2.84,CRIME
912,Sydney,2015,9.49,ACTION
913,Hai Phong,2019,3.99,CRIME
914,Banda Aceh,2022,1.2,CRIME
915,Shanghai,2016,3.3,DRAMA
916,Gold Coast,2017,9.91,DRAMA
917,Birkirkara,2021,6.47,DRAMA
918,Jayapura,2019,10.74,CRIME
919,Nice,2016,7.36,WESTERN
920,Thimphu,2015,3.53,CRIME
921,Nagpur,2012,3.77,DRAMA
922,Moroni,2014,6.91,WESTERN
923,Johannesburg,2017,7.01,ACTION
924,Kawasaki,2017,9.56,ACTION
925,Fortaleza,2017,10.9,CRIME
926,Medina,2014,1.67,WESTERN
927,Cannes,2015,4.73,CRIME
928,Ouagadougou,2015,10.7,ACTION
929,Charlotte,2012,3.28,WESTERN
930,Budapest,2022,4.57,ACTION
931,Tianjin,2012,6.49,ACTION
932,Mogadishu,2013,8.89,DRAMA
933,Melbourne,2015,3.26,ACTION
934,Lucknow,2021,2.25,CRIME
935,Arbil,2016,6.68,CRIME
936,Chongqing,2020,10.55,ACTION
937,Kaohsiung,2020,9.32,WESTERN
938,Monrovia,2016,5.07,ACTION
939,İzmir,2019,2.1,WESTERN
940,Nouméa,2013,7.35,CRIME
941,Amritsar,2022,10.33,CRIME
942,Regina,2021,1.71,CRIME
943,Tagbilaran,2022,5.9,CRIME
944,Perm,2012,2.89,WESTERN
945,Kuala Lumpur,2017,2.42,DRAMA
946,Assis,2013,2.78,ACTION
947,Durban,2020,2.84,ACTION
948,Gothenburg,2016,8.27,CRIME
949,Kawasaki,2014,9.87,ACTION
950,Cotonou,2019,8.82,WESTERN
951,Antananarivo,2013,9.9,ACTION
952,Medellín,2019,10.53,DRAMA
953,Rotterdam,2018,6.24,DRAMA
954,Porto-Novo,2012,10.56,CRIME
955,Vitória,2016,10.42,CRIME
956,Munich,2013,5.85,CRIME
957,Bloemfontein,2012,3.51,DRAMA
958,Zürich,2017,9.31,DRAMA
959,Surabaya,2012,10.23,CRIME
960,Makassar,2015,2.61,WESTERN
961,Baku,2017,5.23,DRAMA
962,Odessa,2016,8.42,DRAMA
963,Hagåtña,2020,2.31,ACTION
964,Namangan,2015,10.02,WESTERN
965,Nukuʻalofa,2014,6.06,WESTERN
966,Funafuti,2018,1.84,ACTION
967,Bahía Blanca,2013,6.37,ACTION
968,Thiès,2017,5.51,CRIME
969,Macapá,2018,7.41,CRIME
970,Bursa,2013,6.82,WESTERN
971,Phnom Penh,2014,4.68,CRIME
972,Dar es Salaam,2022,9.35,CRIME
973,Ushuaia,2012,8.35,DRAMA
974,Vladivostok,2019,5.97,ACTION
975,Brussels,2019,6.33,DRAMA
976,The Valley,2019,1.34,CRIME
977,Bergen,2013,3.3,WESTERN
978,Riga,2014,10.6,ACTION
979,Kingston,2015,1.44,WESTERN
980,Okinawa,2021,5.36,DRAMA
981,Ashgabat,2013,1.49,DRAMA
982,San Juan,2019,6.06,DRAMA
983,Phnom Penh,2022,5.89,DRAMA
984,Malmö,2013,7.43,DRAMA
985,Saint-Denis,2017,7.36,DRAMA
986,Port Elizabeth,2018,8.63,CRIME
987,Zhengzhou,2012,5.2,DRAMA
988,Turin,2016,5.92,ACTION
989,Valletta,2015,5.86,ACTION
990,Manama,2018,1.11,WESTERN
991,Nakhon Ratchasima,2021,9.58,CRIME
992,Sri Jayawardenapura-Kotte,2015,4.13,CRIME
993,Bangkok,2020,2.05,WESTERN
994,Perm,2014,6.44,WESTERN
995,Ulan Bator,2012,1.53,WESTERN
996,Oklahoma City,2016,9.62,ACTION
997,Road Town,2021,3.24,CRIME
998,Zapopan,2014,10.62,ACTION
999,Incheon,2016,5.26,CRIME
1000,Tokyo,2012,2.76,CRIME